,D_Emis_transport,D_Coal_Cons,D_NatGas_Cons,D_Petrol_Cons
FL '84-85,2,2,0,2
GA '84-85,2,2,0,2
HI '84-85,2,2,2,2
IA '84-85,0,2,0,2
ID '84-85,2,0,2,2
IL '84-85,2,0,0,0
IN '84-85,2,0,0,0
KS '84-85,2,0,0,0
KY '84-85,0,2,0,0
LA '84-85,0,2,0,0
MA '84-85,2,0,2,0
MD '84-85,2,0,0,0
ME '84-85,2,2,2,2
MI '84-85,2,2,0,2
MN '84-85,0,0,2,0
MO '84-85,2,0,0,2
MS '84-85,2,2,0,2
MT '84-85,1,2,2,2
NC '84-85,2,0,0,0
ND '84-85,0,2,0,0
NE '84-85,0,0,0,2
NH '84-85,2,2,2,0
NJ '84-85,0,2,0,0
NM '84-85,2,2,0,0
NV '84-85,2,0,0,2
NY '84-85,2,2,0,2
OH '84-85,2,2,0,0
OK '84-85,0,2,0,2
OR '84-85,2,0,2,0
PA '84-85,2,0,0,0
RI '84-85,0,0,0,2
SC '84-85,2,2,0,0
SD '84-85,2,2,2,2
TN '84-85,2,2,0,2
TX '84-85,2,2,0,0
UT '84-85,2,2,0,0
VA '84-85,2,0,0,2
VT '84-85,1,2,2,2
WI '84-85,0,0,2,0
WV '84-85,2,0,0,0
WY '84-85,2,2,0,2
AK '85-86,0,2,0,2
AL '85-86,2,0,0,2
AR '85-86,2,2,2,0
AZ '85-86,2,0,0,2
CA '85-86,2,0,0,2
CO '85-86,2,0,0,2
CT '85-86,2,0,2,2
DC '85-86,2,0,2,2
DE '85-86,2,0,0,2
FL '85-86,2,0,0,2
GA '85-86,2,0,0,0
HI '85-86,0,0,0,0
IA '85-86,0,0,0,2
ID '85-86,2,0,0,2
IL '85-86,0,0,0,2
IN '85-86,2,0,0,2
KS '85-86,2,0,0,0
KY '85-86,2,2,0,2
LA '85-86,2,2,2,2
MA '85-86,2,0,0,2
MD '85-86,2,2,2,2
ME '85-86,2,2,0,2
MI '85-86,2,2,0,2
MN '85-86,2,0,0,2
MO '85-86,2,0,0,2
MS '85-86,2,0,0,2
MT '85-86,0,2,0,0
NC '85-86,2,2,2,2
ND '85-86,0,2,0,2
NE '85-86,2,0,0,2
NH '85-86,2,0,0,2
NJ '85-86,2,0,0,2
NM '85-86,2,0,0,0
NV '85-86,2,2,0,2
NY '85-86,2,0,0,2
OH '85-86,2,2,0,0
OK '85-86,0,0,0,0
OR '85-86,2,0,0,2
PA '85-86,2,0,0,2
RI '85-86,2,2,0,2
SC '85-86,2,2,2,2
SD '85-86,0,0,0,2
TN '85-86,2,2,0,2
TX '85-86,2,2,0,2
UT '85-86,2,0,0,2
VA '85-86,2,2,2,2
VT '85-86,2,0,0,2
WI '85-86,0,2,0,2
WV '85-86,2,2,0,0
WY '85-86,2,0,0,0
AK '86-87,0,0,2,0
AL '86-87,2,2,2,2
AR '86-87,2,0,0,0
AZ '86-87,2,0,2,2
CA '86-87,2,2,2,2
CO '86-87,2,2,2,0
CT '86-87,2,2,2,0
DC '86-87,0,2,2,0
DE '86-87,2,2,2,2
FL '86-87,2,2,2,0
GA '86-87,2,2,2,2
HI '86-87,0,2,2,2
IA '86-87,2,2,0,0
ID '86-87,2,2,2,2
IL '86-87,2,0,0,2
IN '86-87,2,2,2,2
KS '86-87,2,2,2,2
KY '86-87,2,0,2,2
LA '86-87,0,2,2,0
MA '86-87,2,2,2,0
MD '86-87,2,2,2,2
ME '86-87,2,0,2,0
MI '86-87,2,2,0,2
MN '86-87,0,2,0,0
MO '86-87,2,2,0,2
MS '86-87,2,2,0,2
MT '86-87,2,0,0,0
NC '86-87,2,0,2,2
ND '86-87,1,2,0,0
NE '86-87,2,2,2,2
NH '86-87,2,2,2,2
NJ '86-87,2,2,2,2
NM '86-87,2,2,2,2
NV '86-87,2,0,2,2
NY '86-87,2,2,2,2
OH '86-87,2,2,0,2
OK '86-87,2,2,2,2
OR '86-87,2,2,2,2
PA '86-87,2,2,2,2
RI '86-87,2,0,2,2
SC '86-87,0,2,2,2
SD '86-87,2,0,0,2
TN '86-87,0,0,2,0
TX '86-87,0,2,2,2
UT '86-87,2,2,2,2
VA '86-87,2,2,2,2
VT '86-87,2,0,2,2
WI '86-87,2,2,0,2
WV '86-87,2,0,2,2
WY '86-87,2,2,2,2
AK '87-88,2,2,2,0
AL '87-88,2,0,2,2
AR '87-88,2,2,2,2
AZ '87-88,2,2,2,2
CA '87-88,2,2,0,2
CO '87-88,0,2,2,2
CT '87-88,2,2,0,2
DC '87-88,2,0,2,0
DE '87-88,0,0,0,2
FL '87-88,2,2,0,2
GA '87-88,2,0,2,2
HI '87-88,2,0,2,2
IA '87-88,2,2,2,2
ID '87-88,2,2,2,2
IL '87-88,2,0,2,2
IN '87-88,0,2,2,0
KS '87-88,2,2,2,2
KY '87-88,2,2,2,2
LA '87-88,2,2,0,2
MA '87-88,2,0,0,2
MD '87-88,2,2,2,2
ME '87-88,2,2,2,2
MI '87-88,2,0,2,2
MN '87-88,2,2,2,2
MO '87-88,2,2,2,2
MS '87-88,2,2,2,2
MT '87-88,2,2,2,2
NC '87-88,2,2,2,2
ND '87-88,2,2,2,0
NE '87-88,2,2,2,2
NH '87-88,2,2,2,2
NJ '87-88,0,0,0,0
NM '87-88,2,2,2,2
NV '87-88,2,2,2,2
NY '87-88,0,2,2,2
OH '87-88,2,2,2,0
OK '87-88,2,2,0,2
OR '87-88,2,0,2,2
PA '87-88,2,2,2,2
RI '87-88,2,2,0,2
SC '87-88,2,2,2,2
SD '87-88,2,2,2,2
TN '87-88,2,2,2,2
TX '87-88,2,2,2,2
UT '87-88,2,2,2,2
VA '87-88,2,2,2,2
VT '87-88,2,0,2,2
WI '87-88,2,2,2,2
WV '87-88,2,2,2,2
WY '87-88,2,2,2,2
AK '88-89,2,2,2,2
AL '88-89,2,2,2,2
AR '88-89,2,0,2,0
AZ '88-89,1,2,2,2
CA '88-89,2,2,2,2
CO '88-89,0,2,2,0
CT '88-89,2,2,2,2
DC '88-89,1,2,2,2
DE '88-89,2,0,2,0
FL '88-89,2,2,2,0
GA '88-89,0,0,0,0
HI '88-89,2,0,2,2
IA '88-89,2,2,0,0
ID '88-89,2,2,2,2
IL '88-89,2,0,2,0
IN '88-89,2,2,2,2
KS '88-89,0,0,0,0
KY '88-89,2,0,2,2
LA '88-89,2,0,2,0
MA '88-89,2,2,2,2
MD '88-89,2,0,2,2
ME '88-89,0,0,2,0
MI '88-89,0,0,2,0
MN '88-89,0,2,2,2
MO '88-89,2,2,2,0
MS '88-89,0,0,2,0
MT '88-89,0,0,2,2
NC '88-89,0,2,2,0
ND '88-89,0,0,2,2
NE '88-89,0,0,0,0
NH '88-89,1,0,2,2
NJ '88-89,2,2,2,0
NM '88-89,2,2,2,2
NV '88-89,2,0,2,2
NY '88-89,2,2,2,0
OH '88-89,2,0,2,2
OK '88-89,2,2,2,2
OR '88-89,2,2,2,0
PA '88-89,0,2,2,2
RI '88-89,0,0,2,0
SC '88-89,0,2,2,0
SD '88-89,1,2,2,2
TN '88-89,2,0,2,2
TX '88-89,2,2,2,2
UT '88-89,0,2,2,0
VA '88-89,0,2,2,0
