Year,State,GDP,Unit,State_Code
2002,Pennsylvania,436985.5,Millions of current dollars,PA
2003,Pennsylvania,455106.8,Millions of current dollars,PA
2004,Pennsylvania,481738.9,Millions of current dollars,PA
2005,Pennsylvania,505584.6,Millions of current dollars,PA
2006,Pennsylvania,526396.3,Millions of current dollars,PA
2007,Pennsylvania,560753.4,Millions of current dollars,PA
2008,Pennsylvania,582240.2,Millions of current dollars,PA
2009,Pennsylvania,577379.8,Millions of current dollars,PA
2010,Pennsylvania,599312.8,Millions of current dollars,PA
2011,Pennsylvania,618987.7,Millions of current dollars,PA
2012,Pennsylvania,641317.3,Millions of current dollars,PA
2013,Pennsylvania,663900.8,Millions of current dollars,PA
2014,Pennsylvania,691187.5,Millions of current dollars,PA
2015,Pennsylvania,711205.4,Millions of current dollars,PA
2016,Pennsylvania,726163.9,Millions of current dollars,PA
2000,Rhode Island,34516.4,Millions of current dollars,RI
2001,Rhode Island,35992.1,Millions of current dollars,RI
2002,Rhode Island,38132.1,Millions of current dollars,RI
2003,Rhode Island,40272.8,Millions of current dollars,RI
2004,Rhode Island,43245.6,Millions of current dollars,RI
2005,Rhode Island,45162.4,Millions of current dollars,RI
2006,Rhode Island,47711.8,Millions of current dollars,RI
2007,Rhode Island,47845.6,Millions of current dollars,RI
2008,Rhode Island,47107.8,Millions of current dollars,RI
2009,Rhode Island,47901.4,Millions of current dollars,RI
2010,Rhode Island,49571.8,Millions of current dollars,RI
2011,Rhode Island,50175.9,Millions of current dollars,RI
2012,Rhode Island,51642.0,Millions of current dollars,RI
2013,Rhode Island,53209.9,Millions of current dollars,RI
2014,Rhode Island,54427.3,Millions of current dollars,RI
2015,Rhode Island,56759.4,Millions of current dollars,RI
2016,Rhode Island,57693.9,Millions of current dollars,RI
2000,South Carolina,115246.8,Millions of current dollars,SC
2001,South Carolina,119301.4,Millions of current dollars,SC
2002,South Carolina,124160.1,Millions of current dollars,SC
2003,South Carolina,130337.4,Millions of current dollars,SC
2004,South Carolina,135160.1,Millions of current dollars,SC
2005,South Carolina,142616.6,Millions of current dollars,SC
2006,South Carolina,150659.1,Millions of current dollars,SC
2007,South Carolina,159362.5,Millions of current dollars,SC
2008,South Carolina,161804.7,Millions of current dollars,SC
2009,South Carolina,159835.6,Millions of current dollars,SC
2010,South Carolina,163856.8,Millions of current dollars,SC
2011,South Carolina,170087.2,Millions of current dollars,SC
2012,South Carolina,175374.8,Millions of current dollars,SC
2013,South Carolina,183014.9,Millions of current dollars,SC
2014,South Carolina,191938.2,Millions of current dollars,SC
2015,South Carolina,203920.9,Millions of current dollars,SC
2016,South Carolina,212987.4,Millions of current dollars,SC
2000,South Dakota,22690.7,Millions of current dollars,SD
2001,South Dakota,23512.8,Millions of current dollars,SD
2002,South Dakota,26337.5,Millions of current dollars,SD
2003,South Dakota,27445.0,Millions of current dollars,SD
2004,South Dakota,29628.9,Millions of current dollars,SD
2005,South Dakota,30659.4,Millions of current dollars,SD
2006,South Dakota,31898.6,Millions of current dollars,SD
2007,South Dakota,34701.6,Millions of current dollars,SD
2008,South Dakota,36668.5,Millions of current dollars,SD
2009,South Dakota,36193.1,Millions of current dollars,SD
2010,South Dakota,37484.4,Millions of current dollars,SD
2011,South Dakota,41541.5,Millions of current dollars,SD
2012,South Dakota,43444.6,Millions of current dollars,SD
2013,South Dakota,44814.9,Millions of current dollars,SD
2014,South Dakota,46046.5,Millions of current dollars,SD
2015,South Dakota,47752.3,Millions of current dollars,SD
2016,South Dakota,48606.1,Millions of current dollars,SD
2000,Tennessee,181629.5,Millions of current dollars,TN
2001,Tennessee,185774.7,Millions of current dollars,TN
2002,Tennessee,195289.2,Millions of current dollars,TN
2003,Tennessee,203833.7,Millions of current dollars,TN
2004,Tennessee,218020.6,Millions of current dollars,TN
2005,Tennessee,228099.4,Millions of current dollars,TN
2006,Tennessee,240193.9,Millions of current dollars,TN
2007,Tennessee,244252.4,Millions of current dollars,TN
2008,Tennessee,251609.0,Millions of current dollars,TN
2009,Tennessee,250544.4,Millions of current dollars,TN
2010,Tennessee,255935.8,Millions of current dollars,TN
2011,Tennessee,267659.1,Millions of current dollars,TN
2012,Tennessee,283721.8,Millions of current dollars,TN
2013,Tennessee,292803.9,Millions of current dollars,TN
2014,Tennessee,303809.0,Millions of current dollars,TN
2015,Tennessee,322663.6,Millions of current dollars,TN
2016,Tennessee,335025.7,Millions of current dollars,TN
2000,Texas,738871.0,Millions of current dollars,TX
2001,Texas,773006.7,Millions of current dollars,TX
2002,Texas,787257.8,Millions of current dollars,TX
2003,Texas,829764.4,Millions of current dollars,TX
2004,Texas,906321.0,Millions of current dollars,TX
2005,Texas,986401.3,Millions of current dollars,TX
2006,Texas,1085294.9,Millions of current dollars,TX
2007,Texas,1178583.1,Millions of current dollars,TX
2008,Texas,1237394.9,Millions of current dollars,TX
2009,Texas,1163401.3,Millions of current dollars,TX
2010,Texas,1237196.8,Millions of current dollars,TX
2011,Texas,1331220.6,Millions of current dollars,TX
2012,Texas,1411378.7,Millions of current dollars,TX
2013,Texas,1502249.8,Millions of current dollars,TX
2014,Texas,1572818.4,Millions of current dollars,TX
2015,Texas,1568457.0,Millions of current dollars,TX
2016,Texas,1565632.2,Millions of current dollars,TX
2000,Utah,70291.8,Millions of current dollars,UT
2001,Utah,73226.0,Millions of current dollars,UT
2002,Utah,75998.8,Millions of current dollars,UT
2003,Utah,79149.1,Millions of current dollars,UT
2004,Utah,85701.9,Millions of current dollars,UT
2005,Utah,94194.9,Millions of current dollars,UT
2006,Utah,106124.2,Millions of current dollars,UT
2007,Utah,114652.7,Millions of current dollars,UT
2008,Utah,115985.4,Millions of current dollars,UT
2009,Utah,113332.9,Millions of current dollars,UT
2010,Utah,117960.5,Millions of current dollars,UT
2011,Utah,124539.4,Millions of current dollars,UT
2012,Utah,128721.0,Millions of current dollars,UT
2013,Utah,134252.1,Millions of current dollars,UT
2014,Utah,141259.7,Millions of current dollars,UT
2015,Utah,149371.6,Millions of current dollars,UT
2016,Utah,157883.3,Millions of current dollars,UT
2000,Vermont,18311.9,Millions of current dollars,VT
2001,Vermont,19274.1,Millions of current dollars,VT
2002,Vermont,20163.3,Millions of current dollars,VT
2003,Vermont,21130.1,Millions of current dollars,VT
2004,Vermont,22666.0,Millions of current dollars,VT
2005,Vermont,23509.3,Millions of current dollars,VT
2006,Vermont,24309.8,Millions of current dollars,VT
2007,Vermont,24696.8,Millions of current dollars,VT
2008,Vermont,25678.0,Millions of current dollars,VT
2009,Vermont,25867.8,Millions of current dollars,VT
2010,Vermont,27108.4,Millions of current dollars,VT
2011,Vermont,28135.1,Millions of current dollars,VT
2012,Vermont,28887.4,Millions of current dollars,VT
2013,Vermont,29098.8,Millions of current dollars,VT
2014,Vermont,29701.3,Millions of current dollars,VT
2015,Vermont,30729.6,Millions of current dollars,VT
2016,Vermont,31659.0,Millions of current dollars,VT
2000,Virginia,266886.4,Millions of current dollars,VA
2001,Virginia,284001.9,Millions of current dollars,VA
2002,Virginia,293275.9,Millions of current dollars,VA
2003,Virginia,309981.2,Millions of current dollars,VA
2004,Virginia,332250.6,Millions of current dollars,VA
2005,Virginia,360299.8,Millions of current dollars,VA
2006,Virginia,379129.4,Millions of current dollars,VA
2007,Virginia,392917.3,Millions of current dollars,VA
2008,Virginia,399032.1,Millions of current dollars,VA
2009,Virginia,408918.7,Millions of current dollars,VA
2010,Virginia,422902.0,Millions of current dollars,VA
2011,Virginia,432392.7,Millions of current dollars,VA
2012,Virginia,444950.0,Millions of current dollars,VA
2013,Virginia,455070.0,Millions of current dollars,VA
2014,Virginia,463477.6,Millions of current dollars,VA
2015,Virginia,484216.6,Millions of current dollars,VA
2016,Virginia,493877.9,Millions of current dollars,VA
2000,West Virginia,42606.9,Millions of current dollars,WV
2001,West Virginia,43977.6,Millions of current dollars,WV
2002,West Virginia,45433.7,Millions of current dollars,WV
2003,West Virginia,46667.9,Millions of current dollars,WV
2004,West Virginia,49271.7,Millions of current dollars,WV
2005,West Virginia,53259.0,Millions of current dollars,WV
2006,West Virginia,56530.0,Millions of current dollars,WV
2007,West Virginia,58635.8,Millions of current dollars,WV
2008,West Virginia,62066.7,Millions of current dollars,WV
2009,West Virginia,62957.8,Millions of current dollars,WV
2010,West Virginia,65274.1,Millions of current dollars,WV
2011,West Virginia,68524.9,Millions of current dollars,WV
2012,West Virginia,69399.0,Millions of current dollars,WV
2013,West Virginia,71037.6,Millions of current dollars,WV
2014,West Virginia,71919.2,Millions of current dollars,WV
2015,West Virginia,70281.0,Millions of current dollars,WV
2016,West Virginia,69721.4,Millions of current dollars,WV
2000,Wisconsin,180539.0,Millions of current dollars,WI
2001,Wisconsin,187939.3,Millions of current dollars,WI
2002,Wisconsin,194813.1,Millions of current dollars,WI
2003,Wisconsin,203134.7,Millions of current dollars,WI
2004,Wisconsin,215138.9,Millions of current dollars,WI
2005,Wisconsin,225697.9,Millions of current dollars,WI
2006,Wisconsin,235708.6,Millions of current dollars,WI
2007,Wisconsin,243766.7,Millions of current dollars,WI
2008,Wisconsin,244759.9,Millions of current dollars,WI
2009,Wisconsin,245539.0,Millions of current dollars,WI
2010,Wisconsin,254354.1,Millions of current dollars,WI
2011,Wisconsin,263881.6,Millions of current dollars,WI
2012,Wisconsin,274343.9,Millions of current dollars,WI
2013,Wisconsin,282384.6,Millions of current dollars,WI
2014,Wisconsin,293884.6,Millions of current dollars,WI
2015,Wisconsin,305816.5,Millions of current dollars,WI
2016,Wisconsin,313532.4,Millions of current dollars,WI
2000,Wyoming,17205.4,Millions of current dollars,WY
2001,Wyoming,18660.7,Millions of current dollars,WY
2002,Wyoming,19115.6,Millions of current dollars,WY
2003,Wyoming,21027.5,Millions of current dollars,WY
2004,Wyoming,23186.7,Millions of current dollars,WY
2005,Wyoming,27177.6,Millions of current dollars,WY
2006,Wyoming,32405.1,Millions of current dollars,WY
2007,Wyoming,36602.5,Millions of current dollars,WY
2008,Wyoming,42540.4,Millions of current dollars,WY
2009,Wyoming,36042.2,Millions of current dollars,WY
2010,Wyoming,37401.2,Millions of current dollars,WY
2011,Wyoming,39370.7,Millions of current dollars,WY
2012,Wyoming,38431.7,Millions of current dollars,WY
2013,Wyoming,38922.5,Millions of current dollars,WY
2014,Wyoming,39436.1,Millions of current dollars,WY
2015,Wyoming,37721.5,Millions of current dollars,WY
2016,Wyoming,35740.3,Millions of current dollars,WY
