,D_Emis,D_Coal_Cons,D_NatGas_Cons,D_Petrol_Cons
GA '94-95,2,2,2,2
HI '94-95,0,2,0,0
IA '94-95,2,2,2,2
ID '94-95,2,0,2,2
IL '94-95,2,2,2,2
IN '94-95,2,2,2,0
KS '94-95,0,0,0,2
KY '94-95,2,2,2,2
LA '94-95,2,0,2,0
MA '94-95,0,2,2,0
MD '94-95,0,2,2,0
ME '94-95,0,0,2,0
MI '94-95,2,0,2,2
MN '94-95,2,2,2,2
MO '94-95,2,2,2,2
MS '94-95,2,2,2,0
MT '94-95,0,0,2,2
NC '94-95,2,2,2,2
ND '94-95,0,0,2,0
NE '94-95,2,2,2,2
NH '94-95,2,2,2,0
NJ '94-95,0,2,2,0
NM '94-95,0,0,0,0
NV '94-95,0,0,2,2
NY '94-95,2,0,2,0
OH '94-95,2,0,2,2
OK '94-95,2,2,0,0
OR '94-95,0,0,0,0
PA '94-95,2,2,2,0
RI '94-95,0,0,0,0
SC '94-95,0,0,2,2
SD '94-95,0,0,2,2
TN '94-95,2,2,2,2
TX '94-95,2,0,2,0
UT '94-95,2,0,2,2
VA '94-95,2,2,2,0
VT '94-95,0,0,0,0
WI '94-95,0,2,2,2
WV '94-95,0,0,2,0
WY '94-95,2,0,0,2
AK '95-96,2,0,2,2
AL '95-96,2,2,2,2
AR '95-96,2,2,2,2
AZ '95-96,2,0,0,2
CA '95-96,0,0,0,2
CO '95-96,2,2,2,2
CT '95-96,2,2,0,2
DC '95-96,0,2,2,0
DE '95-96,2,0,0,2
FL '95-96,2,2,0,2
GA '95-96,2,0,2,2
HI '95-96,0,2,0,0
IA '95-96,2,2,2,2
ID '95-96,2,0,2,2
IL '95-96,2,2,2,2
IN '95-96,2,2,2,2
KS '95-96,2,2,0,2
KY '95-96,2,2,2,0
LA '95-96,2,0,0,2
MA '95-96,2,2,0,2
MD '95-96,2,2,2,2
ME '95-96,2,0,2,2
MI '95-96,2,2,2,2
MN '95-96,2,2,2,2
MO '95-96,2,2,2,2
MS '95-96,2,2,0,2
MT '95-96,0,0,2,2
NC '95-96,2,2,2,2
ND '95-96,2,2,2,2
NE '95-96,2,0,2,2
NH '95-96,2,2,0,2
NJ '95-96,0,2,2,0
NM '95-96,2,2,2,2
NV '95-96,2,2,2,2
NY '95-96,2,2,0,2
OH '95-96,2,2,2,2
OK '95-96,2,2,2,2
OR '95-96,2,2,2,2
PA '95-96,2,2,2,0
RI '95-96,2,2,2,0
SC '95-96,2,2,0,2
