,D_Emis,D_Coal_Cons,D_NatGas_Cons,D_Petrol_Cons
IN '08-09,0,0,0,0
KS '08-09,0,0,0,0
KY '08-09,0,0,0,0
LA '08-09,0,0,0,0
MA '08-09,0,0,0,0
MD '08-09,0,0,2,2
ME '08-09,0,0,0,2
MI '08-09,0,0,0,0
MN '08-09,0,0,0,0
MO '08-09,0,0,0,0
MS '08-09,0,0,2,0
MT '08-09,0,0,0,0
NC '08-09,0,0,2,0
ND '08-09,0,0,0,0
NE '08-09,2,2,0,0
NH '08-09,0,0,0,0
NJ '08-09,0,0,2,0
NM '08-09,2,2,0,0
NV '08-09,0,0,2,0
NY '08-09,0,0,0,0
OH '08-09,0,0,0,0
OK '08-09,0,0,0,0
OR '08-09,0,0,0,0
PA '08-09,0,0,2,0
RI '08-09,2,1,2,2
SC '08-09,0,0,2,2
SD '08-09,0,0,2,2
TN '08-09,0,0,0,0
TX '08-09,0,0,0,0
UT '08-09,0,0,0,0
VA '08-09,0,0,2,0
VT '08-09,2,1,2,2
WI '08-09,0,0,0,0
WV '08-09,0,0,0,0
WY '08-09,0,0,2,0
AK '09-10,2,2,0,2
AL '09-10,2,2,2,2
AR '09-10,2,2,2,2
AZ '09-10,2,2,0,2
CA '09-10,0,2,0,0
CO '09-10,2,2,0,2
CT '09-10,2,2,2,0
DC '09-10,2,0,0,2
DE '09-10,0,0,2,0
FL '09-10,2,2,2,2
GA '09-10,2,2,2,2
HI '09-10,2,2,2,2
IA '09-10,2,2,0,0
ID '09-10,2,2,0,2
IL '09-10,2,2,2,0
IN '09-10,2,2,2,0
KS '09-10,0,2,0,2
KY '09-10,2,2,2,0
LA '09-10,2,2,2,2
MA '09-10,2,0,2,2
MD '09-10,0,0,2,0
ME '09-10,0,2,2,0
MI '09-10,2,2,2,0
MN '09-10,0,0,2,0
MO '09-10,2,2,2,0
MS '09-10,2,2,2,2
MT '09-10,2,2,0,0
NC '09-10,2,2,2,2
ND '09-10,2,0,2,2
NE '09-10,2,2,2,2
NH '09-10,0,2,2,0
NJ '09-10,2,2,2,2
NM '09-10,0,0,0,0
NV '09-10,0,0,0,0
NY '09-10,2,2,2,0
OH '09-10,2,2,2,2
OK '09-10,0,0,2,2
OR '09-10,0,2,0,0
PA '09-10,2,2,2,0
RI '09-10,0,1,2,0
SC '09-10,2,2,2,0
SD '09-10,2,2,2,0
TN '09-10,2,2,2,2
TX '09-10,2,2,2,2
UT '09-10,0,0,2,0
VA '09-10,2,2,2,0
VT '09-10,0,1,0,0
WI '09-10,2,2,0,2
WV '09-10,0,2,2,2
WY '09-10,2,2,2,2
AK '10-11,0,2,2,0
AL '10-11,0,0,2,2
AR '10-11,2,2,2,0
AZ '10-11,0,2,0,2
CA '10-11,0,2,0,0
CO '10-11,0,0,0,0
CT '10-11,0,0,2,0
DC '10-11,0,0,0,0
DE '10-11,2,0,2,2
FL '10-11,0,0,2,0
GA '10-11,0,0,0,0
HI '10-11,2,0,2,2
IA '10-11,0,0,0,2
ID '10-11,0,0,0,0
IL '10-11,0,0,2,0
IN '10-11,0,0,2,2
KS '10-11,0,0,2,0
KY '10-11,0,2,0,0
LA '10-11,2,2,2,0
MA '10-11,0,0,2,0
MD '10-11,0,0,0,0
ME '10-11,0,0,0,0
MI '10-11,0,0,2,0
MN '10-11,0,2,0,0
MO '10-11,2,2,0,0
MS '10-11,0,0,0,0
MT '10-11,0,0,2,2
NC '10-11,0,0,2,0
ND '10-11,2,0,2,2
NE '10-11,2,2,2,0
NH '10-11,0,0,2,0
NJ '10-11,2,0,2,2
NM '10-11,2,2,2,2
NV '10-11,0,0,0,0
NY '10-11,0,0,2,0
OH '10-11,0,0,2,0
OK '10-11,2,2,0,0
OR '10-11,0,0,0,0
PA '10-11,0,0,2,0
RI '10-11,2,1,2,0
SC '10-11,0,0,2,0
SD '10-11,0,0,2,0
TN '10-11,0,0,2,0
TX '10-11,2,2,2,0
UT '10-11,2,0,2,2
VA '10-11,0,0,0,0
VT '10-11,0,1,2,0
WI '10-11,0,0,2,0
WV '10-11,0,0,2,0
WY '10-11,0,0,2,2
AK '11-12,0,2,2,0
AL '11-12,0,0,2,0
AR '11-12,0,0,2,0
AZ '11-12,0,0,2,0
CA '11-12,2,0,2,0
CO '11-12,0,2,0,0
CT '11-12,0,2,2,0
DC '11-12,0,2,0,0
DE '11-12,2,0,2,0
FL '11-12,0,0,2,0
GA '11-12,0,0,2,0
HI '11-12,0,2,2,0
IA '11-12,0,0,0,0
ID '11-12,0,0,2,0
IL '11-12,0,0,0,0
IN '11-12,0,0,2,0
KS '11-12,0,0,0,0
KY '11-12,0,0,2,0
LA '11-12,0,0,2,0
MA '11-12,0,0,0,0
MD '11-12,0,0,2,0
ME '11-12,0,0,0,0
MI '11-12,0,0,2,0
MN '11-12,0,0,2,2
MO '11-12,0,0,0,0
MS '11-12,2,0,2,2
MT '11-12,0,0,0,0
NC '11-12,0,0,2,0
ND '11-12,2,2,0,2
NE '11-12,0,0,0,2
NH '11-12,0,0,2,0
NJ '11-12,0,0,0,0
NM '11-12,0,0,0,2
NV '11-12,2,0,2,2
NY '11-12,0,0,2,2
OH '11-12,0,0,2,0
OK '11-12,0,0,2,2
OR '11-12,0,0,2,0
PA '11-12,0,0,2,0
RI '11-12,0,1,0,0
SC '11-12,0,0,2,0
SD '11-12,2,2,0,2
TN '11-12,0,0,2,0
TX '11-12,0,0,2,2
UT '11-12,0,0,2,0
VA '11-12,0,0,2,2
VT '11-12,0,1,0,0
WI '11-12,0,0,2,0
WV '11-12,0,0,2,0
WY '11-12,0,2,0,2
AK '12-13,0,0,0,0
AL '12-13,0,2,0,0
AR '12-13,2,2,0,2
AZ '12-13,2,2,2,2
CA '12-13,2,0,2,2
CO '12-13,2,0,2,2
CT '12-13,2,0,2,2
DC '12-13,2,0,2,0
DE '12-13,0,2,0,0
FL '12-13,0,2,0,2
GA '12-13,0,0,2,0
HI '12-13,0,0,2,0
IA '12-13,2,0,2,2
ID '12-13,2,2,2,2
IL '12-13,2,2,2,2
IN '12-13,2,2,2,2
KS '12-13,2,2,2,2
KY '12-13,0,2,2,0
LA '12-13,0,0,0,0
MA '12-13,2,2,2,2
MD '12-13,0,0,0,2
ME '12-13,2,2,0,2
MI '12-13,2,2,2,2
MN '12-13,2,2,2,0
MO '12-13,2,2,2,2
MS '12-13,0,2,0,2
MT '12-13,2,2,2,2
NC '12-13,2,0,2,2
ND '12-13,2,0,2,2
NE '12-13,2,2,2,2
NH '12-13,0,2,0,2
NJ '12-13,2,2,2,2
NM '12-13,0,0,2,2
NV '12-13,2,2,2,2
NY '12-13,2,0,2,0
OH '12-13,2,2,2,2
OK '12-13,0,2,0,0
OR '12-13,2,2,2,0
PA '12-13,2,2,2,2
RI '12-13,0,1,0,2
SC '12-13,0,0,0,2
SD '12-13,2,0,2,0
TN '12-13,0,0,2,2
TX '12-13,2,2,2,2
UT '12-13,2,2,2,2
VA '12-13,2,2,2,2
VT '12-13,2,1,2,2
WI '12-13,2,2,2,2
WV '12-13,2,2,2,2
WY '12-13,2,2,0,0
AK '13-14,0,2,0,0
AL '13-14,2,2,2,0
AR '13-14,2,2,0,2
AZ '13-14,0,0,0,0
CA '13-14,0,2,0,2
CO '13-14,2,0,2,2
CT '13-14,2,2,2,0
DC '13-14,2,2,2,2
DE '13-14,0,0,2,2
FL '13-14,2,2,0,2
GA '13-14,2,2,2,0
HI '13-14,0,2,0,0
IA '13-14,2,0,2,2
ID '13-14,0,0,0,2
IL '13-14,2,0,2,2
IN '13-14,2,2,2,2
KS '13-14,2,0,2,2
KY '13-14,2,0,2,2
LA '13-14,0,0,2,0
MA '13-14,0,0,0,0
MD '13-14,2,2,2,2
ME '13-14,2,2,0,2
MI '13-14,0,0,2,2
MN '13-14,2,2,2,2
MO '13-14,0,0,2,2
MS '13-14,2,2,2,2
MT '13-14,2,2,0,0
NC '13-14,2,2,2,2
ND '13-14,2,2,2,2
NE '13-14,0,0,2,2
NH '13-14,2,0,2,2
NJ '13-14,2,2,2,2
NM '13-14,0,0,2,2
NV '13-14,2,2,0,2
NY '13-14,2,0,2,2
OH '13-14,2,0,2,2
OK '13-14,2,2,0,2
OR '13-14,0,0,0,2
PA '13-14,0,0,2,2
RI '13-14,2,1,2,2
SC '13-14,2,2,0,0
SD '13-14,2,0,0,2
TN '13-14,2,2,2,2
TX '13-14,0,0,0,0
UT '13-14,0,0,0,0
VA '13-14,0,0,2,0
VT '13-14,2,1,2,2
WI '13-14,2,0,2,2
WV '13-14,0,2,2,0
WY '13-14,2,0,0,2
AK '14-15,2,2,2,2
AL '14-15,0,0,2,2
AR '14-15,0,0,2,0
AZ '14-15,0,0,2,2
CA '14-15,2,0,0,2
CO '14-15,0,0,0,2
CT '14-15,2,0,2,2
DC '14-15,0,0,0,2
DE '14-15,2,0,2,2
FL '14-15,2,0,2,2
GA '14-15,0,0,2,2
HI '14-15,2,0,2,2
IA '14-15,0,0,0,0
ID '14-15,2,0,2,2
IL '14-15,0,0,0,2
IN '14-15,0,0,2,2
KS '14-15,0,0,0,0
KY '14-15,0,0,2,2
LA '14-15,2,0,2,2
MA '14-15,2,0,2,2
MD '14-15,0,0,2,2
ME '14-15,2,2,0,2
MI '14-15,2,0,0,2
MN '14-15,0,0,0,0
MO '14-15,0,0,0,2
MS '14-15,2,0,2,2
MT '14-15,0,2,0,0
NC '14-15,0,0,2,0
ND '14-15,0,2,2,0
NE '14-15,0,0,0,0
NH '14-15,2,0,2,0
NJ '14-15,0,0,0,2
NM '14-15,2,2,2,0
NV '14-15,0,0,2,0
NY '14-15,0,0,2,2
OH '14-15,0,0,0,2
OK '14-15,0,0,2,0
OR '14-15,2,0,2,0
PA '14-15,0,0,2,0
RI '14-15,2,1,2,0
SC '14-15,0,0,2,2
SD '14-15,0,0,0,2
TN '14-15,0,0,2,2
TX '14-15,2,0,2,2
UT '14-15,0,0,0,2
VA '14-15,0,0,2,0
VT '14-15,2,1,2,2
WI '14-15,0,0,0,0
WV '14-15,2,0,2,0
WY '14-15,0,0,0,0
