Years,State_Code,CLTCB,NGTCB,PMTCB,FFTCB,RETCB,TERCB,TECCB,TEICB,TEACB,BMTCB,ELISB,NUETB
1968,KS,12740.0,490591.0,300262.0,803594.0,3459.0,158488.0,88381.0,318509.0,228465.0,3353.0,-13211.0,0.0
1969,KS,9771.0,540660.0,305110.0,855541.0,3280.0,171163.0,100130.0,331161.0,236882.0,3214.0,-19486.0,0.0
1970,KS,10701.0,574542.0,302912.0,888155.0,3730.0,181603.0,103533.0,338421.0,250710.0,3659.0,-17618.0,0.0
1971,KS,10817.0,605775.0,306270.0,922862.0,3941.0,184073.0,109580.0,358043.0,256558.0,3866.0,-18549.0,0.0
1972,KS,12416.0,626853.0,333077.0,972345.0,5702.0,191740.0,118643.0,377643.0,273146.0,5654.0,-16877.0,0.0
1973,KS,24625.0,597207.0,352878.0,974709.0,6031.0,191169.0,111689.0,394301.0,269163.0,5999.0,-14417.0,0.0
1974,KS,39107.0,578795.0,354364.0,972266.0,5915.0,189397.0,112623.0,386299.0,271331.0,5846.0,-18529.0,0.0
1975,KS,62280.0,490748.0,384086.0,937114.0,5811.0,183706.0,121110.0,350948.0,269148.0,5763.0,-18014.0,0.0
1976,KS,73379.0,505408.0,402421.0,981208.0,6526.0,188846.0,130025.0,380003.0,273595.0,6472.0,-15267.0,0.0
1977,KS,89517.0,497279.0,408962.0,995757.0,6852.0,184915.0,128140.0,399200.0,268827.0,6820.0,-21528.0,0.0
1978,KS,136849.0,507973.0,423333.0,1068154.0,7540.0,195436.0,146018.0,408985.0,286644.0,7491.0,-38610.0,0.0
1979,KS,147482.0,571266.0,439116.0,1157864.0,7928.0,189827.0,143230.0,510159.0,288878.0,7891.0,-33699.0,0.0
1980,KS,191574.0,481990.0,372660.0,1046224.0,9088.0,186323.0,142493.0,414093.0,279218.0,9002.0,-33184.0,0.0
1981,KS,212932.0,422564.0,335099.0,970596.0,8483.0,175442.0,137349.0,368489.0,266030.0,8403.0,-31769.0,0.0
1982,KS,212511.0,400519.0,337084.0,950115.0,10392.0,188335.0,142143.0,359325.0,255159.0,10323.0,-15546.0,0.0
1983,KS,231156.0,345858.0,344475.0,921488.0,10707.0,193629.0,145469.0,331872.0,246221.0,10649.0,-15005.0,0.0
1984,KS,274843.0,360762.0,407423.0,1043027.0,14676.0,186830.0,154197.0,418538.0,257072.0,14596.0,-41065.0,0.0
1985,KS,259501.0,354756.0,391915.0,1006172.0,14844.0,188003.0,154528.0,401023.0,268172.0,14750.0,-50249.0,40960.0
1986,KS,251692.0,307990.0,390775.0,950457.0,21818.0,177261.0,151507.0,372365.0,273068.0,21730.0,-71690.0,73616.0
1987,KS,267406.0,343155.0,395580.0,1006141.0,20517.0,181604.0,153723.0,402013.0,278352.0,20424.0,-78538.0,67572.0
1988,KS,269294.0,347982.0,432737.0,1050013.0,21727.0,190647.0,163291.0,421355.0,294398.0,21607.0,-72551.0,70503.0
1989,KS,267926.0,338559.0,411768.0,1018253.0,17714.0,191393.0,165895.0,400065.0,285614.0,17552.0,-95753.0,102753.0
1990,KS,271741.0,352645.0,399100.0,1023486.0,13869.0,196046.0,174055.0,414403.0,280304.0,13652.0,-55875.0,83328.0
1991,KS,268537.0,373151.0,366669.0,1008356.0,14307.0,207072.0,182765.0,409313.0,260471.0,14097.0,-24463.0,61422.0
1992,KS,253303.0,338755.0,382061.0,974119.0,14248.0,187694.0,174119.0,428472.0,255948.0,14026.0,-31038.0,88906.0
1993,KS,302570.0,386513.0,352596.0,1041679.0,13513.0,212569.0,181085.0,420816.0,260226.0,13322.0,-63472.0,82977.0
1994,KS,300955.0,415552.0,346720.0,1063227.0,13084.0,203496.0,180718.0,468668.0,247301.0,12823.0,-65271.0,89145.0
1995,KS,289709.0,367750.0,353830.0,1011288.0,12949.0,208871.0,183813.0,397946.0,274175.0,12656.0,-65154.0,105723.0
1996,KS,338314.0,360921.0,371416.0,1070650.0,11792.0,225347.0,198894.0,397064.0,273318.0,11467.0,-73994.0,86176.0
1997,KS,310907.0,338569.0,374645.0,1024121.0,10349.0,213259.0,190416.0,409088.0,271115.0,9977.0,-39062.0,88469.0
1998,KS,309382.0,325041.0,377110.0,1011533.0,9895.0,221591.0,192933.0,387656.0,270026.0,9495.0,-58454.0,109219.0
1999,KS,329308.0,302023.0,420488.0,1051820.0,10142.0,220165.0,187903.0,397145.0,285477.0,9731.0,-66934.0,95687.0
2000,KS,362797.0,314868.0,389363.0,1067028.0,9920.0,232555.0,200648.0,394806.0,269988.0,9482.0,-73448.0,94495.0
2001,KS,354647.0,273862.0,377245.0,1005754.0,10907.0,221735.0,197098.0,377316.0,251256.0,9929.0,-77307.0,108050.0
2002,KS,391664.0,307432.0,361909.0,1061005.0,19525.0,231749.0,203613.0,387246.0,260491.0,14324.0,-91843.0,94413.0
2003,KS,389464.0,284722.0,419163.0,1093350.0,21888.0,230854.0,203019.0,403557.0,285777.0,17628.0,-84679.0,92648.0
2004,KS,385498.0,260117.0,412120.0,1057735.0,19513.0,224157.0,204159.0,402465.0,273169.0,15318.0,-78960.0,105664.0
2005,KS,379823.0,258695.0,341906.0,980424.0,22792.0,233626.0,201306.0,356551.0,257995.0,17863.0,-45794.0,92055.0
2006,KS,364212.0,269274.0,351672.0,985158.0,27865.0,223174.0,201889.0,380278.0,272215.0,17327.0,-33036.0,97570.0
2007,KS,396333.0,291695.0,402282.0,1090310.0,35423.0,235114.0,213137.0,429735.0,278727.0,23274.0,-77785.0,108762.0
2008,KS,371804.0,292523.0,349719.0,1014046.0,57572.0,242178.0,216866.0,379234.0,275659.0,39419.0,-46494.0,88812.0
2009,KS,356079.0,292425.0,347428.0,995932.0,65980.0,239275.0,211800.0,351942.0,285175.0,37082.0,-65431.0,91710.0
2010,KS,359908.0,280413.0,355040.0,995361.0,74768.0,248148.0,215958.0,370861.0,281300.0,40486.0,-53738.0,99876.0
2011,KS,346521.0,285318.0,336914.0,968753.0,79163.0,245306.0,216339.0,368194.0,273728.0,41842.0,-20934.0,76585.0
2012,KS,307585.0,268086.0,335729.0,911400.0,89265.0,220897.0,208036.0,374987.0,269664.0,38714.0,-13900.0,86818.0
2013,KS,326817.0,288274.0,345960.0,961050.0,132005.0,235882.0,210306.0,370711.0,285653.0,40836.0,-65405.0,74902.0
2014,KS,316572.0,291483.0,359597.0,967652.0,150201.0,240294.0,214598.0,378198.0,301831.0,45882.0,-72444.0,89512.0
2015,KS,273416.0,280421.0,346530.0,900367.0,147916.0,221062.0,218880.0,384001.0,280606.0,44183.0,-33989.0,90254.0
2016,KS,253121.0,276404.0,345311.0,874836.0,175236.0,213160.0,217087.0,386129.0,274442.0,43583.0,-45500.0,86245.0
2017,KS,216747.0,278639.0,338152.0,833538.0,215635.0,205544.0,213230.0,387525.0,266933.0,42817.0,-87309.0,111367.0
1960,KY,286738.0,153807.0,200419.0,640964.0,50751.0,135191.0,51873.0,482537.0,153635.0,22418.0,131521.0,0.0
1961,KY,288113.0,156328.0,199248.0,643689.0,48648.0,131326.0,58042.0,476140.0,153410.0,21538.0,126580.0,0.0
1962,KY,287376.0,163826.0,222878.0,674080.0,51423.0,133516.0,59848.0,473390.0,169687.0,22130.0,110938.0,0.0
