Years,State_Code,CLTCB,NGTCB,PMTCB,FFTCB,RETCB,TERCB,TECCB,TEICB,TEACB,BMTCB,ELISB,NUETB
1960,AK,7189.0,2034.0,45410.0,54633.0,6800.0,10189.0,7307.0,16798.0,27139.0,3681.0,0.0,0.0
1961,AK,11552.0,2300.0,51008.0,64860.0,7313.0,10787.0,7744.0,21748.0,31895.0,4145.0,0.0,0.0
1962,AK,13559.0,4048.0,53752.0,71359.0,7453.0,11546.0,7941.0,25143.0,34182.0,4246.0,0.0,0.0
1963,AK,11999.0,5567.0,55429.0,72995.0,7793.0,12335.0,10116.0,25950.0,32387.0,4383.0,0.0,0.0
1964,AK,12029.0,6805.0,58130.0,76965.0,8102.0,14082.0,12898.0,25841.0,32246.0,4728.0,0.0,0.0
1965,AK,9888.0,7670.0,61705.0,79263.0,8519.0,15020.0,15276.0,23107.0,34379.0,4863.0,0.0,0.0
1966,AK,16431.0,12282.0,65655.0,94368.0,8328.0,16611.0,16031.0,33820.0,36233.0,5035.0,0.0,0.0
1967,AK,18462.0,11889.0,76363.0,106715.0,8457.0,17607.0,18156.0,35548.0,43862.0,4671.0,0.0,0.0
1968,AK,15998.0,17636.0,80412.0,114046.0,8486.0,19393.0,19463.0,36499.0,47177.0,4705.0,0.0,0.0
1969,AK,13191.0,42940.0,92045.0,148176.0,8455.0,21683.0,27055.0,51376.0,56517.0,4893.0,0.0,0.0
1970,AK,13159.0,64045.0,95999.0,173203.0,8835.0,24873.0,29815.0,50964.0,76386.0,5029.0,0.0,0.0
1971,AK,14121.0,68045.0,109703.0,191869.0,9094.0,29598.0,32872.0,53474.0,85018.0,5287.0,0.0,0.0
1972,AK,12753.0,75032.0,117919.0,205703.0,8673.0,29461.0,37357.0,64134.0,83425.0,5079.0,0.0,0.0
1973,AK,13286.0,63703.0,112132.0,189120.0,7844.0,28496.0,34044.0,63070.0,71354.0,4871.0,0.0,0.0
1974,AK,12485.0,63188.0,117486.0,193159.0,8329.0,29137.0,35903.0,59645.0,76803.0,4922.0,0.0,0.0
1975,AK,15271.0,85175.0,123119.0,223564.0,8608.0,36147.0,33763.0,82597.0,79665.0,4894.0,0.0,0.0
1976,AK,13706.0,90571.0,141170.0,245447.0,9201.0,40237.0,34607.0,90682.0,89123.0,5224.0,0.0,0.0
1977,AK,10259.0,116859.0,154922.0,282041.0,11449.0,43461.0,37862.0,118122.0,94045.0,6106.0,0.0,0.0
1978,AK,4689.0,145025.0,163486.0,313201.0,10809.0,47016.0,38164.0,140893.0,97936.0,5920.0,0.0,0.0
1979,AK,4182.0,157236.0,127623.0,289041.0,10733.0,38446.0,36380.0,139105.0,85842.0,5986.0,0.0,0.0
1980,AK,4310.0,153805.0,129309.0,287424.0,8321.0,34590.0,33916.0,137435.0,89804.0,2723.0,0.0,0.0
1981,AK,12521.0,122214.0,135710.0,270444.0,9216.0,34830.0,37521.0,106071.0,101238.0,3046.0,0.0,0.0
1982,AK,13182.0,237881.0,149249.0,400312.0,8745.0,40248.0,46963.0,219607.0,102239.0,2875.0,0.0,0.0
1983,AK,12403.0,239678.0,175955.0,428036.0,9591.0,40386.0,50328.0,230970.0,115944.0,3348.0,0.0,0.0
1984,AK,12883.0,258039.0,200815.0,471737.0,11152.0,45551.0,63347.0,230994.0,142997.0,3917.0,0.0,0.0
1985,AK,11587.0,214042.0,237018.0,462646.0,11783.0,46846.0,58113.0,215539.0,153931.0,3967.0,0.0,0.0
1986,AK,12150.0,208311.0,273084.0,493544.0,10707.0,43771.0,97823.0,211960.0,150698.0,2259.0,0.0,0.0
1987,AK,4330.0,251512.0,231366.0,487208.0,12004.0,42041.0,88963.0,234311.0,133896.0,2923.0,0.0,0.0
1988,AK,4362.0,288798.0,215477.0,508637.0,12761.0,41824.0,52618.0,276499.0,150456.0,3103.0,0.0,0.0
1989,AK,4719.0,321207.0,231924.0,557850.0,18342.0,46208.0,53158.0,303443.0,173382.0,9188.0,0.0,0.0
1990,AK,12387.0,326826.0,226509.0,565722.0,18357.0,47410.0,60898.0,306883.0,168892.0,8169.0,0.0,0.0
1991,AK,12675.0,367952.0,204675.0,585301.0,17357.0,45623.0,60143.0,340479.0,156413.0,7954.0,0.0,0.0
1992,AK,12509.0,383887.0,212539.0,608935.0,18300.0,46912.0,62226.0,366172.0,151927.0,8753.0,0.0,0.0
1993,AK,13630.0,375971.0,213456.0,603057.0,20551.0,47943.0,64623.0,356750.0,154297.0,7067.0,0.0,0.0
1994,AK,12578.0,367592.0,219277.0,599447.0,23590.0,49237.0,65924.0,350616.0,157266.0,9659.0,0.0,0.0
1995,AK,12882.0,432813.0,235221.0,680916.0,23142.0,50322.0,66562.0,413570.0,173607.0,8941.0,0.0,0.0
1996,AK,11152.0,443629.0,242048.0,696830.0,21915.0,50875.0,70630.0,429716.0,167528.0,8774.0,0.0,0.0
1997,AK,11719.0,425394.0,256040.0,693152.0,15583.0,48844.0,68002.0,403305.0,188588.0,4308.0,0.0,0.0
1998,AK,16471.0,434437.0,258658.0,709565.0,13638.0,47564.0,69605.0,413864.0,192174.0,2233.0,0.0,0.0
1999,AK,16394.0,422817.0,275510.0,714721.0,10605.0,52227.0,71181.0,394489.0,207434.0,2168.0,0.0,0.0
2000,AK,16455.0,437972.0,275255.0,729682.0,12375.0,50780.0,69873.0,401675.0,219733.0,2069.0,0.0,0.0
2001,AK,15911.0,413049.0,289334.0,718294.0,17439.0,54045.0,66274.0,409960.0,205457.0,3438.0,0.0,0.0
2002,AK,16429.0,420808.0,277400.0,714637.0,18257.0,52028.0,60184.0,411348.0,209339.0,3529.0,0.0,0.0
2003,AK,12552.0,415891.0,285417.0,713860.0,19598.0,52810.0,58567.0,402842.0,219243.0,3485.0,0.0,0.0
2004,AK,14075.0,407944.0,334121.0,756139.0,18857.0,55874.0,63451.0,389872.0,265801.0,3765.0,0.0,0.0
2005,AK,13994.0,434704.0,333091.0,781788.0,15866.0,53524.0,62403.0,418115.0,263620.0,1133.0,0.0,0.0
2006,AK,14981.0,375719.0,342272.0,732971.0,13298.0,59556.0,67572.0,353673.0,265470.0,1065.0,0.0,0.0
2007,AK,13662.0,372186.0,323089.0,708937.0,14037.0,53742.0,63076.0,356533.0,249625.0,1177.0,0.0,0.0
2008,AK,14705.0,343938.0,278725.0,637369.0,12913.0,53668.0,64441.0,317535.0,214641.0,1233.0,0.0,0.0
2009,AK,14505.0,343971.0,265386.0,623861.0,15685.0,53536.0,61825.0,334430.0,189761.0,2543.0,0.0,0.0
2010,AK,14548.0,334978.0,289080.0,638606.0,16965.0,52253.0,66822.0,326937.0,209562.0,2704.0,0.0,0.0
2011,AK,15481.0,339819.0,284438.0,639738.0,16078.0,53939.0,70816.0,331420.0,199644.0,2675.0,0.0,0.0
2012,AK,15521.0,347228.0,270628.0,633377.0,17796.0,54597.0,69598.0,339183.0,187800.0,2263.0,0.0,0.0
2013,AK,14819.0,332631.0,252206.0,599656.0,18629.0,48810.0,62922.0,334286.0,172271.0,3357.0,0.0,0.0
2014,AK,18225.0,329274.0,237961.0,585460.0,19790.0,47823.0,63219.0,330415.0,163792.0,3522.0,0.0,0.0
2015,AK,19511.0,333936.0,245552.0,599000.0,23786.0,53136.0,66983.0,331207.0,171458.0,7488.0,0.0,0.0
2016,AK,16613.0,330883.0,233260.0,580756.0,25174.0,50890.0,59310.0,329286.0,166445.0,8093.0,0.0,0.0
2017,AK,16376.0,343908.0,224170.0,584455.0,23677.0,53128.0,58839.0,333141.0,163027.0,7023.0,0.0,0.0
1960,AL,395400.0,190706.0,236010.0,822115.0,112809.0,124894.0,57186.0,508500.0,176015.0,45681.0,-68330.0,0.0
1961,AL,382455.0,191533.0,232362.0,806350.0,118021.0,121253.0,64744.0,473290.0,172023.0,46171.0,-93060.0,0.0
1962,AL,427177.0,201250.0,239387.0,867815.0,125564.0,132329.0,71604.0,497504.0,179802.0,45959.0,-112139.0,0.0
1963,AL,442465.0,211348.0,251791.0,905604.0,112682.0,140993.0,77702.0,505064.0,189395.0,45764.0,-105131.0,0.0
1964,AL,459000.0,230316.0,256646.0,945962.0,137992.0,148042.0,82040.0,558585.0,190545.0,46341.0,-104742.0,0.0
1965,AL,533142.0,236949.0,261907.0,1031999.0,121888.0,147307.0,82000.0,614582.0,200727.0,47641.0,-109270.0,0.0
1966,AL,583457.0,240755.0,272450.0,1096662.0,121238.0,153849.0,85463.0,642039.0,206854.0,49102.0,-129695.0,0.0
1967,AL,580163.0,262055.0,277348.0,1119566.0,144384.0,155314.0,85537.0,681691.0,216031.0,49050.0,-125377.0,0.0
1968,AL,618335.0,296690.0,306563.0,1221587.0,129673.0,187648.0,96195.0,720272.0,242554.0,52920.0,-104592.0,0.0
1969,AL,641466.0,310822.0,337296.0,1289583.0,131856.0,206246.0,106709.0,774557.0,255625.0,53345.0,-78302.0,0.0
1970,AL,675603.0,307750.0,352050.0,1335404.0,132471.0,221615.0,111096.0,792298.0,268489.0,52378.0,-74378.0,0.0
1971,AL,626054.0,294838.0,364985.0,1285877.0,158182.0,228132.0,113920.0,761641.0,281247.0,54068.0,-59119.0,0.0
1972,AL,669734.0,287100.0,405130.0,1361964.0,164946.0,239588.0,121198.0,816426.0,300827.0,58735.0,-48872.0,0.0
1973,AL,688650.0,279958.0,450532.0,1419141.0,181706.0,254674.0,124601.0,820388.0,327548.0,59084.0,-77063.0,3425.0
1974,AL,653405.0,282454.0,476203.0,1412062.0,166734.0,252523.0,127541.0,816867.0,350726.0,58463.0,-101334.0,70195.0
1975,AL,640063.0,271747.0,487794.0,1399605.0,184701.0,234043.0,122067.0,795894.0,363127.0,57615.0,-99153.0,29978.0
1976,AL,632096.0,232758.0,532874.0,1397728.0,160994.0,249401.0,125295.0,803954.0,373155.0,62883.0,-53473.0,46557.0
1977,AL,629412.0,248715.0,573518.0,1451646.0,174751.0,264632.0,128203.0,835065.0,395543.0,66705.0,-213183.0,210228.0
1978,AL,577580.0,244969.0,577713.0,1400261.0,148341.0,269292.0,127602.0,836049.0,405416.0,66560.0,-160030.0,249788.0
1979,AL,670208.0,291485.0,491310.0,1453003.0,190737.0,249304.0,129683.0,916739.0,353042.0,67874.0,-235294.0,240321.0
1980,AL,661023.0,278394.0,450362.0,1389728.0,238766.0,272413.0,127025.0,895556.0,349881.0,141033.0,-239929.0,256310.0
1981,AL,629957.0,281046.0,444499.0,1355478.0,213355.0,262308.0,145003.0,854608.0,342116.0,150242.0,-225577.0,260780.0
1982,AL,511059.0,253487.0,440359.0,1204809.0,265548.0,267646.0,145631.0,752596.0,333176.0,153364.0,-278041.0,306734.0
1983,AL,532596.0,230003.0,415569.0,1178158.0,282179.0,264723.0,149781.0,706991.0,324451.0,164722.0,-288595.0,274203.0
1984,AL,584607.0,239653.0,415550.0,1239755.0,288127.0,278750.0,134830.0,793320.0,337698.0,175397.0,-245802.0,262518.0
1985,AL,662890.0,227795.0,410037.0,1300708.0,248632.0,275396.0,141275.0,768192.0,334813.0,176696.0,-181693.0,152028.0
1986,AL,660525.0,210229.0,425299.0,1296050.0,215783.0,283917.0,144276.0,727345.0,349194.0,160935.0,-129408.0,122308.0
1987,AL,660678.0,214613.0,460724.0,1336014.0,233511.0,294347.0,147094.0,766314.0,374883.0,155656.0,-104336.0,117450.0
1988,AL,652717.0,243209.0,463721.0,1359629.0,216597.0,299608.0,155814.0,818320.0,377985.0,161022.0,-62123.0,137623.0
1989,AL,682145.0,253593.0,487915.0,1423637.0,304351.0,307947.0,169223.0,804679.0,401324.0,166994.0,-166777.0,121962.0
1990,AL,682496.0,252457.0,482913.0,1417536.0,253287.0,303723.0,171437.0,792492.0,397799.0,145304.0,-132906.0,127533.0
1991,AL,723921.0,261816.0,486549.0,1471946.0,257202.0,306532.0,167976.0,802210.0,406124.0,144773.0,-212735.0,166430.0
1992,AL,775653.0,288123.0,491998.0,1555598.0,257599.0,308405.0,164861.0,862574.0,417482.0,151327.0,-262986.0,203111.0
1993,AL,812948.0,302672.0,498060.0,1613257.0,269514.0,325112.0,168629.0,897895.0,413632.0,176217.0,-264721.0,187216.0
1994,AL,773804.0,299322.0,525738.0,1598792.0,334002.0,326416.0,174292.0,964871.0,431784.0,215932.0,-249484.0,214054.0
1995,AL,828277.0,332400.0,536342.0,1697019.0,322116.0,338685.0,176772.0,1001394.0,454692.0,223971.0,-265639.0,218045.0
1996,AL,890742.0,337782.0,539104.0,1767610.0,323721.0,360583.0,191836.0,1007715.0,444370.0,208971.0,-398846.0,312018.0
1997,AL,867264.0,337453.0,524929.0,1729624.0,300020.0,338524.0,228896.0,964889.0,439699.0,182204.0,-367973.0,310336.0
1998,AL,856479.0,341976.0,518605.0,1717057.0,317349.0,363498.0,235977.0,970361.0,447984.0,209467.0,-317285.0,300698.0
1999,AL,866512.0,349080.0,536391.0,1751979.0,290232.0,362713.0,246017.0,998090.0,453914.0,210694.0,-304303.0,322826.0
2000,AL,904181.0,368472.0,559735.0,1832388.0,263303.0,385991.0,254765.0,997515.0,472549.0,203782.0,-312015.0,327143.0
2001,AL,842337.0,344004.0,534772.0,1721113.0,252817.0,366707.0,248106.0,856787.0,445420.0,166309.0,-373930.0,317019.0
2002,AL,845999.0,389965.0,562366.0,1798330.0,253570.0,386156.0,254622.0,864721.0,472487.0,163647.0,-406564.0,332650.0
2003,AL,873735.0,360505.0,561731.0,1795948.0,284700.0,373759.0,253430.0,884546.0,458024.0,156338.0,-441027.0,330137.0
2004,AL,853917.0,391927.0,609981.0,1855825.0,293216.0,378727.0,262193.0,949029.0,493103.0,186662.0,-395887.0,329898.0
2005,AL,890098.0,363398.0,606840.0,1860336.0,279765.0,384017.0,260555.0,930648.0,489301.0,178199.0,-406341.0,330761.0
2006,AL,886678.0,402044.0,611265.0,1899987.0,266305.0,392823.0,272925.0,940812.0,495454.0,194227.0,-397269.0,332992.0
2007,AL,888436.0,430649.0,601179.0,1920264.0,228635.0,394481.0,276430.0,915650.0,498675.0,187593.0,-423700.0,360036.0
2008,AL,842826.0,414260.0,566323.0,1823410.0,237119.0,388089.0,271313.0,876159.0,466865.0,176472.0,-465654.0,407551.0
2009,AL,630969.0,466272.0,518252.0,1615492.0,273619.0,372777.0,257057.0,711194.0,458995.0,151086.0,-504482.0,415392.0
2010,AL,718684.0,544405.0,521920.0,1785010.0,265515.0,419301.0,270519.0,774119.0,478170.0,180391.0,-504974.0,396557.0
2011,AL,651032.0,609288.0,523419.0,1783739.0,277845.0,377607.0,257067.0,804046.0,478047.0,191327.0,-556641.0,411822.0
2012,AL,547004.0,677380.0,515833.0,1740217.0,263335.0,338204.0,244858.0,835419.0,471563.0,192362.0,-541481.0,427975.0
2013,AL,565051.0,625869.0,498341.0,1689261.0,332379.0,358286.0,256785.0,850449.0,468198.0,209069.0,-514409.0,426488.0
2014,AL,575912.0,650570.0,496880.0,1723362.0,290635.0,378853.0,262497.0,861116.0,467892.0,200364.0,-475008.0,431368.0
2015,AL,494311.0,701582.0,523128.0,1719020.0,280131.0,349230.0,263457.0,823761.0,487470.0,187987.0,-513961.0,438728.0
2016,AL,410168.0,715033.0,552838.0,1678038.0,252502.0,341258.0,262633.0,812882.0,512052.0,187447.0,-419049.0,417334.0
2017,AL,378890.0,681516.0,536645.0,1597051.0,275719.0,323484.0,254316.0,822198.0,500939.0,188663.0,-417931.0,446097.0
1960,AR,356.0,222202.0,148055.0,370613.0,48104.0,80587.0,36006.0,204729.0,104652.0,37433.0,7257.0,0.0
1961,AR,275.0,215311.0,159835.0,375422.0,51144.0,80624.0,36795.0,199953.0,114214.0,36290.0,5021.0,0.0
1962,AR,160.0,235477.0,166202.0,401839.0,47637.0,82565.0,41057.0,216451.0,116715.0,36441.0,7312.0,0.0
1963,AR,135.0,252846.0,172970.0,425951.0,41897.0,85776.0,44315.0,230995.0,123586.0,36729.0,16824.0,0.0
1964,AR,186.0,278852.0,184126.0,463164.0,42732.0,93756.0,47870.0,255283.0,130214.0,36860.0,21227.0,0.0
1965,AR,163.0,277661.0,178998.0,456823.0,46425.0,90025.0,53889.0,255234.0,129593.0,35134.0,25493.0,0.0
1966,AR,111.0,289632.0,194561.0,484304.0,51697.0,110858.0,61254.0,257650.0,136348.0,35169.0,30109.0,0.0
1967,AR,104.0,295756.0,200031.0,495891.0,46124.0,113653.0,66520.0,277382.0,139183.0,33309.0,54722.0,0.0
1968,AR,132.0,321569.0,219831.0,541532.0,64986.0,124499.0,71836.0,285240.0,153822.0,33739.0,28878.0,0.0
1969,AR,0.0,349990.0,237000.0,586990.0,64813.0,136344.0,77209.0,307716.0,159784.0,34698.0,29249.0,0.0
1970,AR,0.0,383478.0,246630.0,630109.0,56933.0,144126.0,79483.0,318746.0,166549.0,34264.0,21863.0,0.0
1971,AR,51.0,334979.0,269003.0,604032.0,53579.0,138371.0,73241.0,315745.0,173379.0,34682.0,43124.0,0.0
1972,AR,50.0,317640.0,311260.0,628951.0,53917.0,147217.0,78970.0,325363.0,193085.0,36857.0,61767.0,0.0
1973,AR,2262.0,327475.0,352744.0,682481.0,81723.0,153204.0,84394.0,372635.0,209852.0,37551.0,55879.0,0.0
1974,AR,2665.0,290102.0,354177.0,646945.0,81339.0,146296.0,83434.0,358485.0,210118.0,36739.0,66026.0,4024.0
1975,AR,862.0,257445.0,341236.0,599543.0,71589.0,167441.0,96949.0,311741.0,209528.0,35870.0,60851.0,53676.0
1976,AR,3578.0,248194.0,379963.0,631735.0,62300.0,170337.0,99555.0,354882.0,216054.0,41325.0,104180.0,42614.0
1977,AR,5244.0,234379.0,424446.0,664069.0,69746.0,184409.0,103542.0,375737.0,222603.0,51062.0,97718.0,54759.0
1978,AR,22833.0,220898.0,421092.0,664823.0,77088.0,182366.0,105090.0,370008.0,229577.0,52002.0,88016.0,57113.0
1979,AR,31728.0,255010.0,358872.0,645610.0,80773.0,175912.0,102805.0,393956.0,200014.0,45832.0,104165.0,42139.0
1980,AR,36648.0,273994.0,299725.0,610360.0,69996.0,176124.0,99302.0,379537.0,204275.0,52390.0,93444.0,85438.0
1981,AR,101935.0,265051.0,289016.0,655994.0,68248.0,147564.0,87735.0,377534.0,208967.0,55336.0,-2535.0,100093.0
1982,AR,125193.0,227395.0,281576.0,634157.0,77652.0,154184.0,91650.0,338301.0,208325.0,55633.0,-2200.0,82852.0
1983,AR,177458.0,211726.0,284711.0,673895.0,95412.0,158906.0,108323.0,333947.0,195411.0,60540.0,-56100.0,83380.0
1984,AR,163879.0,214432.0,263495.0,641806.0,91646.0,155736.0,102874.0,332911.0,207483.0,63217.0,-51635.0,117188.0
1985,AR,219791.0,199350.0,263729.0,682869.0,109251.0,152876.0,100622.0,332572.0,203444.0,62928.0,-107649.0,105042.0
1986,AR,224547.0,202982.0,263545.0,691074.0,91234.0,153561.0,94257.0,304023.0,207724.0,61844.0,-116644.0,93900.0
1987,AR,211011.0,172340.0,263304.0,646654.0,86688.0,158439.0,95914.0,264910.0,216907.0,61608.0,-115892.0,118720.0
1988,AR,218821.0,218787.0,276538.0,714146.0,92546.0,163835.0,101167.0,326034.0,226684.0,63792.0,-83281.0,94309.0
1989,AR,203343.0,251139.0,275348.0,729830.0,119759.0,168534.0,106051.0,374559.0,233710.0,86235.0,-60333.0,93599.0
1990,AR,212707.0,234465.0,265920.0,713092.0,110505.0,170801.0,105744.0,351139.0,228101.0,71100.0,-87199.0,119387.0
1991,AR,215945.0,212680.0,261975.0,690599.0,110143.0,176008.0,108180.0,331747.0,229427.0,71732.0,-88128.0,132746.0
1992,AR,220706.0,226598.0,271674.0,718978.0,112813.0,167392.0,105289.0,373961.0,227667.0,76481.0,-76071.0,118591.0
1993,AR,200450.0,232682.0,284367.0,717499.0,133803.0,192017.0,116566.0,401717.0,238191.0,85912.0,-44843.0,142032.0
1994,AR,222169.0,247187.0,297298.0,766655.0,119609.0,186274.0,116908.0,421007.0,255166.0,82506.0,-52439.0,145531.0
1995,AR,237334.0,271956.0,306763.0,816053.0,117506.0,196994.0,121912.0,450841.0,260424.0,82964.0,-25874.0,122486.0
1996,AR,260060.0,274991.0,308927.0,843978.0,118019.0,203152.0,125563.0,453569.0,265553.0,87771.0,-54444.0,140285.0
1997,AR,246786.0,264019.0,320440.0,831246.0,124045.0,198303.0,125908.0,469646.0,273172.0,86884.0,-37363.0,149100.0
1998,AR,254658.0,272888.0,321517.0,849063.0,114927.0,209306.0,133493.0,468605.0,275696.0,81960.0,-14294.0,137403.0
1999,AR,267022.0,257666.0,350550.0,875239.0,110822.0,209484.0,135167.0,466686.0,293044.0,82147.0,-16689.0,135009.0
2000,AR,267579.0,256114.0,357586.0,881279.0,108634.0,226044.0,147038.0,477869.0,293838.0,83466.0,33359.0,121516.0
2001,AR,273982.0,231590.0,353382.0,858954.0,94001.0,222183.0,151037.0,449136.0,277419.0,66816.0,-7536.0,154356.0
2002,AR,255242.0,247899.0,356282.0,859422.0,108618.0,226028.0,152404.0,458443.0,285320.0,72938.0,2132.0,152024.0
2003,AR,253653.0,254571.0,357343.0,865566.0,107905.0,218441.0,154554.0,445750.0,285231.0,80378.0,-22590.0,153093.0
2004,AR,270210.0,217921.0,361081.0,849212.0,112915.0,215406.0,154373.0,437200.0,288153.0,75878.0,-28107.0,161111.0
2005,AR,247169.0,216600.0,358312.0,822081.0,112547.0,233773.0,163710.0,432391.0,288549.0,81287.0,40930.0,142864.0
2006,AR,256907.0,240885.0,358679.0,856471.0,100080.0,225266.0,158925.0,442132.0,288220.0,84205.0,-960.0,158952.0
2007,AR,275037.0,229610.0,359757.0,864404.0,121020.0,232476.0,162806.0,440983.0,291971.0,88493.0,-19621.0,162434.0
2008,AR,278849.0,238424.0,354937.0,872210.0,125658.0,236596.0,166967.0,421560.0,284574.0,79111.0,-36258.0,148085.0
2009,AR,264083.0,248100.0,336157.0,848340.0,130201.0,226788.0,164581.0,365057.0,285128.0,88519.0,-95649.0,158663.0
2010,AR,293689.0,274774.0,341086.0,909548.0,138073.0,253876.0,174511.0,410691.0,287908.0,101522.0,-77654.0,157017.0
2011,AR,306119.0,288906.0,337944.0,932969.0,133249.0,247420.0,174604.0,421768.0,285316.0,103676.0,-85639.0,148531.0
2012,AR,296732.0,300572.0,320561.0,917866.0,123292.0,221966.0,170102.0,405044.0,275491.0,101463.0,-130907.0,162353.0
2013,AR,327099.0,288045.0,322973.0,938117.0,128454.0,241040.0,176549.0,412207.0,274774.0,102209.0,-86817.0,124816.0
2014,AR,339214.0,273009.0,328274.0,940497.0,128788.0,246790.0,182202.0,412795.0,280095.0,102765.0,-98831.0,151428.0
2015,AR,226889.0,296826.0,317534.0,841249.0,126030.0,228572.0,179155.0,377696.0,276801.0,91836.0,-49771.0,144716.0
2016,AR,246437.0,315617.0,328272.0,890325.0,123100.0,213593.0,175092.0,380620.0,284875.0,88961.0,-99615.0,140370.0
2017,AR,267591.0,317614.0,326711.0,911916.0,116203.0,202066.0,173141.0,396844.0,285591.0,87835.0,-103212.0,132736.0
1960,AZ,210.0,140275.0,121344.0,261828.0,36181.0,48824.0,67122.0,50359.0,116689.0,4013.0,-14966.0,0.0
1961,AZ,211.0,159093.0,126775.0,286078.0,35083.0,51198.0,50833.0,81565.0,121239.0,3837.0,-16277.0,0.0
1962,AZ,6291.0,163461.0,135742.0,305494.0,34533.0,48300.0,48940.0,97937.0,129736.0,3672.0,-15045.0,0.0
1963,AZ,8432.0,169533.0,144241.0,322205.0,34861.0,52660.0,53383.0,105519.0,136740.0,4028.0,-8686.0,0.0
1964,AZ,9103.0,174623.0,147476.0,331201.0,34271.0,60457.0,65190.0,100297.0,143720.0,4089.0,4278.0,0.0
1965,AZ,7030.0,166063.0,145724.0,318818.0,50095.0,58339.0,58323.0,119098.0,139441.0,3695.0,6384.0,0.0
1966,AZ,7373.0,174448.0,159220.0,341041.0,58060.0,63080.0,59715.0,131975.0,148689.0,3679.0,4463.0,0.0
1967,AZ,7184.0,169085.0,167963.0,344232.0,56423.0,66568.0,69120.0,119078.0,159735.0,4180.0,13963.0,0.0
1968,AZ,8137.0,189965.0,188622.0,386724.0,63456.0,72096.0,71954.0,128483.0,183623.0,4147.0,6104.0,0.0
1969,AZ,8381.0,210332.0,201360.0,420074.0,67840.0,82071.0,79633.0,143577.0,192910.0,4389.0,10429.0,0.0
1970,AZ,8623.0,204383.0,213298.0,426304.0,68919.0,88755.0,82050.0,155464.0,194132.0,4339.0,25353.0,0.0
1971,AZ,8876.0,225898.0,221223.0,455997.0,74136.0,98710.0,92437.0,158771.0,204293.0,4526.0,24285.0,0.0
1972,AZ,7523.0,241355.0,261095.0,509973.0,75189.0,110557.0,102026.0,178702.0,225168.0,4782.0,31742.0,0.0
1973,AZ,9927.0,226325.0,325852.0,562104.0,79348.0,122525.0,113228.0,190491.0,243872.0,4574.0,28986.0,0.0
1974,AZ,48359.0,204955.0,325753.0,579068.0,82058.0,124455.0,120152.0,198443.0,233258.0,4783.0,15259.0,0.0
1975,AZ,92449.0,164346.0,306751.0,563545.0,80897.0,129541.0,122328.0,177995.0,230139.0,5414.0,15609.0,0.0
1976,AZ,139960.0,180181.0,307360.0,627501.0,84428.0,134167.0,132618.0,190047.0,235052.0,5816.0,-19978.0,0.0
1977,AZ,179847.0,176449.0,351150.0,707446.0,75681.0,139690.0,138813.0,207126.0,253262.0,6838.0,-44183.0,0.0
1978,AZ,159980.0,186366.0,357372.0,703718.0,79870.0,138824.0,135140.0,206989.0,267033.0,7129.0,-35480.0,0.0
1979,AZ,246230.0,180580.0,345796.0,772606.0,83414.0,147553.0,133633.0,231076.0,274217.0,8291.0,-69405.0,0.0
1980,AZ,244994.0,173977.0,301281.0,720245.0,120006.0,153748.0,138144.0,196668.0,265931.0,17835.0,-85622.0,0.0
1981,AZ,319438.0,192208.0,284450.0,796095.0,92583.0,150387.0,136449.0,231894.0,269191.0,21469.0,-100722.0,0.0
1982,AZ,336245.0,142323.0,278455.0,757023.0,94968.0,155170.0,138109.0,191774.0,261440.0,21635.0,-105474.0,0.0
1983,AZ,295442.0,120418.0,289170.0,705030.0,175999.0,166114.0,138340.0,190156.0,263390.0,23644.0,-123025.0,0.0
1984,AZ,324862.0,126844.0,311927.0,763633.0,188831.0,170125.0,154916.0,197716.0,279869.0,25139.0,-149834.0,0.0
1985,AZ,342013.0,137315.0,317106.0,796434.0,171680.0,185647.0,169409.0,194599.0,293447.0,25558.0,-137018.0,12005.0
1986,AZ,295888.0,105197.0,334630.0,735620.0,175103.0,181812.0,174402.0,197047.0,299713.0,24043.0,-163285.0,105540.0
1987,AZ,282882.0,121406.0,341954.0,746137.0,123114.0,192160.0,191764.0,169574.0,312326.0,17521.0,-143953.0,140532.0
1988,AZ,309041.0,128594.0,347703.0,785338.0,98749.0,201500.0,197504.0,184572.0,322840.0,18365.0,-220881.0,243215.0
1989,AZ,353144.0,151468.0,352657.0,857268.0,101498.0,214637.0,212424.0,193835.0,322219.0,15620.0,-98724.0,83080.0
1990,AZ,343415.0,130781.0,347239.0,821435.0,94753.0,215025.0,211750.0,186513.0,325563.0,13741.0,-195294.0,217965.0
1991,AZ,347261.0,128178.0,354652.0,830091.0,88774.0,217263.0,205541.0,189393.0,332408.0,14585.0,-237729.0,263104.0
1992,AZ,369743.0,133771.0,365236.0,868750.0,87528.0,221817.0,211110.0,203134.0,336940.0,15095.0,-251419.0,268149.0
1993,AZ,389839.0,118159.0,379251.0,887249.0,86942.0,225039.0,213722.0,196268.0,352581.0,13871.0,-218174.0,231601.0
1994,AZ,402390.0,139733.0,387714.0,929837.0,94235.0,241810.0,226008.0,207808.0,366258.0,14181.0,-224362.0,242182.0
1995,AZ,342889.0,127945.0,407598.0,878432.0,106203.0,240879.0,237100.0,227483.0,372801.0,16652.0,-191045.0,283526.0
