Year,Personal Income (millions),Population,Per capita income (dollars),State,State_Code
2007,505303.6,12563937.0,40219.0,Pennsylvania,PA
2008,523556.7,12612285.0,41512.0,Pennsylvania,PA
2009,511617.9,12666858.0,40390.0,Pennsylvania,PA
2010,534469.9,12711158.0,42047.0,Pennsylvania,PA
2011,563434.9,12744583.0,44210.0,Pennsylvania,PA
2012,587521.9,12766827.0,46019.0,Pennsylvania,PA
2013,592973.4,12776621.0,46411.0,Pennsylvania,PA
2014,619388.0,12789101.0,48431.0,Pennsylvania,PA
2015,644119.5,12785759.0,50378.0,Pennsylvania,PA
2016,659803.4,12783538.0,51614.0,Pennsylvania,PA
2000,32048.9,1050268.0,30515.0,Rhode Island,RI
2001,33733.6,1057142.0,31910.0,Rhode Island,RI
2002,35133.4,1065995.0,32958.0,Rhode Island,RI
2003,36974.0,1071342.0,34512.0,Rhode Island,RI
2004,38907.8,1074579.0,36207.0,Rhode Island,RI
2005,39747.5,1067916.0,37220.0,Rhode Island,RI
2006,41711.7,1063096.0,39236.0,Rhode Island,RI
2007,43394.6,1057315.0,41042.0,Rhode Island,RI
2008,44051.5,1055003.0,41755.0,Rhode Island,RI
2009,42952.6,1053646.0,40766.0,Rhode Island,RI
2010,45261.0,1053938.0,42945.0,Rhode Island,RI
2011,47067.0,1053536.0,44675.0,Rhode Island,RI
2012,48810.3,1054601.0,46283.0,Rhode Island,RI
2013,48772.7,1055122.0,46225.0,Rhode Island,RI
2014,50863.5,1056017.0,48165.0,Rhode Island,RI
2015,52865.0,1056173.0,50053.0,Rhode Island,RI
2016,53425.5,1057063.0,50541.0,Rhode Island,RI
2000,101217.4,4024223.0,25152.0,South Carolina,SC
2001,104660.8,4064995.0,25747.0,South Carolina,SC
2002,107536.4,4107795.0,26179.0,South Carolina,SC
2003,111169.9,4150297.0,26786.0,South Carolina,SC
2004,117509.6,4210921.0,27906.0,South Carolina,SC
2005,124566.6,4270150.0,29171.0,South Carolina,SC
2006,134622.6,4357847.0,30892.0,South Carolina,SC
2007,143383.7,4444110.0,32264.0,South Carolina,SC
2008,149285.9,4528996.0,32962.0,South Carolina,SC
2009,145622.1,4589872.0,31727.0,South Carolina,SC
2010,150462.9,4635656.0,32458.0,South Carolina,SC
2011,159187.4,4671422.0,34077.0,South Carolina,SC
2012,167797.5,4717112.0,35572.0,South Carolina,SC
2013,170227.2,4764153.0,35731.0,South Carolina,SC
2014,181483.0,4823793.0,37622.0,South Carolina,SC
2015,193225.8,4892253.0,39496.0,South Carolina,SC
2016,200333.3,4958235.0,40404.0,South Carolina,SC
2000,20280.9,755844.0,26832.0,South Dakota,SD
2001,20948.1,757972.0,27637.0,South Dakota,SD
2002,20939.8,760020.0,27552.0,South Dakota,SD
2003,22890.6,763729.0,29972.0,South Dakota,SD
2004,24579.0,770396.0,31904.0,South Dakota,SD
2005,26112.5,775493.0,33672.0,South Dakota,SD
2006,27544.6,783033.0,35177.0,South Dakota,SD
2007,30604.7,791623.0,38661.0,South Dakota,SD
2008,32691.3,799124.0,40909.0,South Dakota,SD
2009,31794.6,807067.0,39395.0,South Dakota,SD
2010,33596.2,816165.0,41163.0,South Dakota,SD
2011,36741.9,823484.0,44618.0,South Dakota,SD
2012,37659.4,833496.0,45183.0,South Dakota,SD
2013,38108.6,842270.0,45245.0,South Dakota,SD
2014,39872.2,849088.0,46959.0,South Dakota,SD
2015,41547.9,853933.0,48655.0,South Dakota,SD
2016,41959.9,862890.0,48627.0,South Dakota,SD
2000,154419.5,5703719.0,27073.0,Tennessee,TN
2001,158356.8,5750789.0,27537.0,Tennessee,TN
2002,162839.3,5795918.0,28096.0,Tennessee,TN
2003,169454.8,5847812.0,28977.0,Tennessee,TN
2004,179482.4,5910809.0,30365.0,Tennessee,TN
2005,187942.3,5991057.0,31370.0,Tennessee,TN
2006,200305.1,6088766.0,32897.0,Tennessee,TN
2007,209963.6,6175727.0,33998.0,Tennessee,TN
2008,217598.6,6247411.0,34830.0,Tennessee,TN
2009,216041.8,6306019.0,34260.0,Tennessee,TN
2010,226586.6,6355301.0,35653.0,Tennessee,TN
2011,240717.7,6397410.0,37627.0,Tennessee,TN
2012,253613.1,6451281.0,39312.0,Tennessee,TN
2013,256016.0,6493432.0,39427.0,Tennessee,TN
2014,266873.4,6540826.0,40801.0,Tennessee,TN
2015,280719.5,6590808.0,42593.0,Tennessee,TN
2016,290560.4,6645011.0,43726.0,Tennessee,TN
2000,589275.4,20944499.0,28135.0,Texas,TX
2001,625492.9,21319622.0,29339.0,Texas,TX
2002,633035.7,21690325.0,29185.0,Texas,TX
2003,655908.0,22030931.0,29772.0,Texas,TX
2004,687220.2,22394023.0,30688.0,Texas,TX
2005,745858.7,22778123.0,32745.0,Texas,TX
2006,820949.9,23359580.0,35144.0,Texas,TX
2007,873354.0,23831983.0,36646.0,Texas,TX
2008,954649.8,24309039.0,39271.0,Texas,TX
2009,910498.6,24801761.0,36711.0,Texas,TX
2010,966149.7,25242679.0,38274.0,Texas,TX
2011,1057757.5,25646227.0,41244.0,Texas,TX
2012,1132222.1,26089620.0,43397.0,Texas,TX
2013,1159745.6,26489464.0,43781.0,Texas,TX
2014,1248733.0,26977142.0,46289.0,Texas,TX
2015,1280251.0,27486814.0,46577.0,Texas,TX
2016,1274394.9,27937492.0,45616.0,Texas,TX
2000,54465.5,2244502.0,24266.0,Utah,UT
2001,56933.2,2283715.0,24930.0,Utah,UT
2002,58604.8,2324815.0,25208.0,Utah,UT
2003,60748.7,2360137.0,25739.0,Utah,UT
2004,64803.4,2401580.0,26984.0,Utah,UT
2005,70861.6,2457719.0,28832.0,Utah,UT
2006,79063.0,2525507.0,31306.0,Utah,UT
2007,86046.0,2597746.0,33123.0,Utah,UT
2008,90161.8,2663029.0,33857.0,Utah,UT
2009,86695.6,2723421.0,31833.0,Utah,UT
2010,89242.4,2775334.0,32156.0,Utah,UT
2011,96245.3,2814216.0,34200.0,Utah,UT
2012,103120.6,2853467.0,36139.0,Utah,UT
2013,106427.2,2897927.0,36725.0,Utah,UT
2014,113140.9,2937399.0,38517.0,Utah,UT
2015,121884.9,2982497.0,40867.0,Utah,UT
2016,128929.4,3042613.0,42375.0,Utah,UT
2000,17745.6,609618.0,29109.0,Vermont,VT
2001,18821.9,612223.0,30744.0,Vermont,VT
2002,19226.8,615442.0,31241.0,Vermont,VT
2003,19983.7,617858.0,32344.0,Vermont,VT
2004,21147.3,619920.0,34113.0,Vermont,VT
2005,21726.8,621215.0,34975.0,Vermont,VT
2006,23108.8,622892.0,37099.0,Vermont,VT
2007,24319.7,623481.0,39006.0,Vermont,VT
2008,25530.4,624151.0,40904.0,Vermont,VT
2009,25164.3,624817.0,40275.0,Vermont,VT
2010,25939.1,625880.0,41444.0,Vermont,VT
2011,27455.2,626979.0,43790.0,Vermont,VT
2012,28395.7,626063.0,45356.0,Vermont,VT
2013,28768.7,626212.0,45941.0,Vermont,VT
2014,29886.7,625218.0,47802.0,Vermont,VT
2015,30998.7,625197.0,49582.0,Vermont,VT
2016,31678.5,623644.0,50796.0,Vermont,VT
2000,232313.7,7105817.0,32693.0,Virginia,VA
2001,244410.7,7198362.0,33954.0,Virginia,VA
2002,251068.3,7286873.0,34455.0,Virginia,VA
2003,266236.5,7366977.0,36139.0,Virginia,VA
2004,285300.6,7475575.0,38164.0,Virginia,VA
2005,305046.9,7577105.0,40259.0,Virginia,VA
2006,326087.1,7673725.0,42494.0,Virginia,VA
2007,343153.1,7751000.0,44272.0,Virginia,VA
2008,355931.4,7833496.0,45437.0,Virginia,VA
2009,349712.1,7925937.0,44122.0,Virginia,VA
2010,365041.4,8023680.0,45496.0,Virginia,VA
2011,387003.9,8100469.0,47775.0,Virginia,VA
2012,405863.9,8185229.0,49585.0,Virginia,VA
2013,403199.1,8253053.0,48855.0,Virginia,VA
2014,421874.5,8312076.0,50754.0,Virginia,VA
2015,442331.4,8362907.0,52892.0,Virginia,VA
2016,450870.2,8410946.0,53605.0,Virginia,VA
2000,40353.0,1807021.0,22331.0,West Virginia,WV
2001,42783.8,1801481.0,23749.0,West Virginia,WV
2002,44239.1,1805414.0,24504.0,West Virginia,WV
2003,44869.8,1812295.0,24759.0,West Virginia,WV
2004,46477.0,1816438.0,25587.0,West Virginia,WV
2005,48861.0,1820492.0,26839.0,West Virginia,WV
2006,52193.7,1827912.0,28554.0,West Virginia,WV
2007,54128.8,1834052.0,29513.0,West Virginia,WV
2008,57523.7,1840310.0,31258.0,West Virginia,WV
2009,57948.9,1847775.0,31361.0,West Virginia,WV
2010,59927.7,1854214.0,32320.0,West Virginia,WV
2011,63349.2,1856074.0,34131.0,West Virginia,WV
2012,65206.2,1856764.0,35118.0,West Virginia,WV
2013,64785.0,1853873.0,34946.0,West Virginia,WV
2014,66863.5,1849467.0,36153.0,West Virginia,WV
2015,67997.3,1841996.0,36915.0,West Virginia,WV
2016,67617.9,1830929.0,36931.0,West Virginia,WV
2000,159326.0,5373999.0,29648.0,Wisconsin,WI
2001,167133.3,5406835.0,30911.0,Wisconsin,WI
2002,171578.1,5445162.0,31510.0,Wisconsin,WI
2003,176274.5,5479203.0,32172.0,Wisconsin,WI
2004,184282.8,5514026.0,33421.0,Wisconsin,WI
2005,190975.8,5546166.0,34434.0,Wisconsin,WI
2006,202649.3,5577655.0,36332.0,Wisconsin,WI
2007,211964.9,5610775.0,37778.0,Wisconsin,WI
2008,219492.8,5640996.0,38910.0,Wisconsin,WI
2009,215830.8,5669264.0,38070.0,Wisconsin,WI
2010,221909.7,5690479.0,38997.0,Wisconsin,WI
2011,234910.0,5704755.0,41178.0,Wisconsin,WI
2012,246150.8,5719855.0,43034.0,Wisconsin,WI
2013,247744.9,5736952.0,43184.0,Wisconsin,WI
2014,258489.4,5751974.0,44939.0,Wisconsin,WI
2015,268947.7,5761406.0,46681.0,Wisconsin,WI
2016,274504.7,5772958.0,47550.0,Wisconsin,WI
2000,14591.3,494300.0,29519.0,Wyoming,WY
2001,15414.2,494657.0,31161.0,Wyoming,WY
2002,15773.7,500017.0,31546.0,Wyoming,WY
2003,16712.0,503453.0,33195.0,Wyoming,WY
2004,17879.7,509106.0,35120.0,Wyoming,WY
2005,19661.1,514157.0,38240.0,Wyoming,WY
2006,22771.0,522667.0,43567.0,Wyoming,WY
2007,24263.4,534876.0,45363.0,Wyoming,WY
2008,26533.7,546043.0,48593.0,Wyoming,WY
2009,24486.7,559851.0,43738.0,Wyoming,WY
2010,25804.9,564483.0,45714.0,Wyoming,WY
2011,28356.6,567224.0,49992.0,Wyoming,WY
2012,30846.1,576270.0,53527.0,Wyoming,WY
2013,30789.6,582123.0,52892.0,Wyoming,WY
2014,33035.3,582548.0,56708.0,Wyoming,WY
2015,33442.4,585668.0,57101.0,Wyoming,WY
2016,31908.0,584290.0,54610.0,Wyoming,WY
